name,comments,startLine,endLine
getTextAfterTest,,10,12
writeConfig,,18,25
cleanStderr,,15,20
cleanStderr,,21,24
gitInit,,46,52
gitCreateBranch,,54,56
gitInit,,34,40
runJestTwice,,19,27
resolveFixture,,10,12
proxyReadInitialOptions,"/**
 * These e2e tests are running via a child process, because we're running in a VM and are not allowed to `import` directly
 * It also represents a more real-world example of how to run.
 */",22,36
assertFailuresAndSnapshot,,11,15
covered,,11,13
uncovered,,15,17
covered,,11,13
uncovered,,15,17
difference,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */,/* eslint-disable local/ban-types-eventually */",9,16
double,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */",7,9
runJest,"// return the result of the spawned process:,//  [ 'status', 'signal', 'output', 'pid', 'stdout', 'stderr',,//    'envPairs', 'options', 'args', 'file' ]",35,51
spawnJest,,53,58
spawnJest,,59,64
spawnJest,// Spawns Jest and returns either a Promise (if spawnAsync is true) or the completed child process,67,111
normalizeStreamString,,119,127
normalizeStdoutAndStderrOnResult,,129,137
getConfig,// return type matches output of logDebugMessages,266,294
error,,12,14
testRunner,,11,36
sum,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */",7,9
isLocalhost,"// Copyright (c) Meta Platforms, Inc. and affiliates.",2,4
assertLoadedBabelConfig,,29,43
addIstanbulInstrumentation,,45,69
getCacheKeyFromConfig,,71,103
loadBabelConfig,,105,115
loadBabelConfigAsync,,117,127
loadBabelOptions,,129,138
loadBabelOptionsAsync,,140,149
mergeBabelTransformOptions,,173,200
visitBlock,,314,359
visitCallExpr,,330,343
visitVariableDeclarator,,345,358
jestHoist,/* eslint-disable sort-keys */,362,410
runCLI,,31,47
runCreate,,49,163
diffSequence,"// Compare items in two sequences to find a longest common subsequence.,// Given lengths of sequences and input function to compare items at indexes,,// return by output function the number of adjacent items and starting indexes,// of each common subsequence.",781,871
$someFunc2,,72,72
$someAsyncFunc,,80,80
$someGeneratorFunc,,88,88
$someFuncWithFakeToString,,96,96
Foo,,234,234
createVolume,,35,37
isVolume,,39,41
toIterator,,59,63
toIterator,,73,77
isToHaveNth,,199,203
isToHaveNth,,1012,1016
isToHaveLast,,1018,1022
fnNameFor,,26,35
getPrototype,,43,53
hasProperty,,55,68
assertions,,429,436
hasAssertions,,437,445
createMessageAndCauseMessage,,469,477
createMessageAndCause,,479,485
messageAndCause,,487,489
testErrorFromDifferentContext,,17,36
isObjectLiteral,,15,17
isImmutableUnorderedKeyed,,19,26
isImmutableUnorderedSet,,28,35
isImmutableList,,37,39
isImmutableOrderedKeyed,,41,48
isImmutableOrderedSet,,50,57
isImmutableRecord,,59,61
isAsymmetric,,39,41
asymmetricMatch,,43,58
eq,"// Equality function lovingly adapted from isEqual in,//   [Underscore](http://underscorejs.org)",62,206
keys,,208,221
hasKey,,223,225
isA,,227,229
isDomNode,,231,239
emptyObject,,508,510
assertionErrorMessage,,127,188
isAssertionError,,190,199
buildHintString,,201,203
collectConcurrentTests,,153,173
startTestsConcurrently,,175,196
shuffleArray,"// Fisher-Yates shuffle,// This is performed in-place",21,38
takesDoneCallback,,29,31
isGeneratorFunction,,33,37
checkIsError,,190,192
check,,11,92
run,,19,41
buildArgv,,43,78
formatDeprecation,,10,17
createReporterError,"/**
 * Reporter Validation Error is thrown if the given arguments
 * within the reporter are not valid.
 *
 * This is a highly specific reporter error and in the future will be
 * merged with jest-validate. Till then, we can make use of it. It works
 * and that's what counts most at this time.
 */",24,35
createArrayReporterError,,37,58
validateReporters,,60,72
validateArrayReporter,,74,98
joinForPattern,"// Windows uses backslashes for path separators, which need to be escaped in,// regular expressions. This little helper function helps us generate the,// expected strings for checking path patterns.",50,52
testPathArray,,234,270
matchErrorSnapshot,,1802,1814
getNumCpus,,14,18
getMaxWorkers,,20,41
readConfig,,33,74
readInitialOptions,"/**
 * Reads the jest config, without validating them or filling it out with defaults.
 * @param config The path to the file or serialized config.
 * @param param1 Additional options
 * @returns The raw initial config (not validated)
 */",281,334
readConfigs,"// Possible scenarios:,//  1. jest --config config.json,//  2. jest --projects p1 p2,//  3. jest --projects p1 p2 --config config.json,//  4. jest --projects p1,//  5. jest,//,// If no projects are specified, process.cwd() will be used as the default,// (and only) project.",345,436
verifyDirectoryExists,,65,96
printConfig,,424,428
validateExtensionsToTreatAsEsm,,430,479
normalize,,481,1178
readConfigFileAndSetRootDir,"// Read the configuration and set its `rootDir`,// 1. If it's a `package.json` file, we look into its ""jest"" property,// 2. If it's a `jest.config.ts` file, we use `ts-node` to transpile & require it,// 3. For any other file, we just require it. If we receive an 'ERR_REQUIRE_ESM',//    from node, perform a dynamic import instead.",26,83
getRegisteredCompiler,,108,112
registerTsNode,,114,136
resolveConfigPath,,24,64
extraIfPackageJson,,162,168
setFromArgv,,12,62
stringToBytes,"/**
 * Copyright (c) Meta Platforms, Inc. and affiliates.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE file in the root directory of this source tree.
 */",7,10
stringToBytes,,11,11
stringToBytes,,12,15
stringToBytes,"/**
 * Converts a string representing an amount of memory to bytes.
 *
 * @param input The value to convert to bytes.
 * @param percentageReference The reference value to use when a '%' value is supplied.
 */",23,86
getConsoleOutput,,16,60
describeKey,,17,19
normalizePosix,,57,59
createTestScheduler,,58,67
createGlobalConfig,,18,24
runCLI,,37,140
stackIsFromUser,,20,40
runGC,,49,62
collectHandles,"// Inspired by https://github.com/mafintosh/why-is-node-running/blob/master/index.js,// Extracted as we want to format the result ourselves",66,167
formatHandleErrors,,169,213
getChangedFilesPromise,,15,40
getConfigsOfProjectsToRun,,10,22
createProjectFilter,,26,45
test,,40,42
getNoTestFound,,12,60
getNoTestFoundFailed,,11,25
getNoTestFoundPassWithNoTests,,9,11
getNoTestFoundRelatedToChangedFiles,,11,30
getNoTestFoundVerbose,,12,74
getNoTestsFoundMessage,,15,43
getProjectDisplayName,,9,13
getProjectNamesMissingWarning,,11,39
getSelectProjectsMessage,,11,22
getNoSelectionWarning,,24,45
getProjectsRunningMessage,,47,60
getProjectNameListElement,,62,68
createContext,,14,24
handleDeprecationWarnings,,11,42
isValidPath,,10,18
logDebugMessages,"// if the output here changes, update `getConfig` in e2e/runJest.ts",12,26
updateGlobalConfig,,15,109
runGlobalHook,,13,83
runJest,,139,338
shouldRunInBand,,12,55
getVersion,,10,12
watch,,90,469
getGlobalCacheKey,,44,61
getCacheKeyFunction,,63,84
createCacheKey,"/**
 * Returns a function that can be used to generate cache keys based on source code of provided files and provided values.
 *
 * @param files - Array of absolute paths to files whose code should be accounted for when generating cache key
 * @param values - Array of string values that should be accounted for when generating cache key
 * @param length - Length of the resulting key. The default is `32`, or `16` on Windows.
 * @returns A function that can be used to generate cache keys.
 */",94,100
diff_cleanupSemanticScore_,"/**
   * Given two strings, compute a score representing whether the internal
   * boundary falls on logical boundaries.
   * Scores range from 6 (best) to 0 (worst).
   * Closure, but does not reference any external variables.
   * @param {string} one First string.
   * @param {string} two Second string.
   * @return {number} The score.
   * @private
   */",304,349
diff,"// Generate a string that will highlight the difference between two values,// with green and red. (similar to how github does code diffing),// eslint-disable-next-line @typescript-eslint/explicit-module-boundary-types",61,109
comparePrimitive,,111,121
sortMap,,123,125
sortSet,,127,129
compareObjects,,131,162
getFormatOptions,,164,174
getObjectsDifference,,176,200
extract,,23,26
strip,,28,32
parse,,34,36
parseWithComments,,38,82
print,,84,127
printKeyValues,,129,134
bind,,31,83
array,,22,39
getPath,/* eslint import/export: 0*/,35,42
getPath,,43,49
getPath,,50,55
getPath,,56,60
getPath,,61,64
getPath,,65,68
getPath,,69,78
template,,16,27
isString,,28,30
isString,,58,60
createJestExpect,,28,39
run,,636,641
getType,"// get the type of a value with handling the edge cases like `typeof []`,// and `typeof null`",25,60
getPlatformMessage,,243,248
getTypeMessage,,250,258
hasNativeFindSupport,,23,56
find,,58,130
search,,68,123
findNative,,132,192
nodeCrawl,,194,240
watchmanError,,58,63
capabilityCheck,"/**
 * Wrap watchman capabilityCheck method as a promise.
 *
 * @param client watchman client
 * @param caps capabilities to verify
 * @returns a promise resolving to a list of verified capabilities
 */",72,89
watchmanCrawl,,91,347
getWatchmanRoots,,141,172
queryWatchmanForDirs,,174,240
copy,,1142,1144
copyMap,,1146,1148
createRegExp,,18,20
alternatives,,22,24
functionCallStart,,26,35
relative,// rootDir and filename must be absolute paths (resolved),10,14
